Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,82403,-,-,-,33.93,-117.46,-8,239,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Cloud Type,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure
2015,1,1,0,0,0,0,0,0,-9,168.98,0.15,1.1,47.35,0,970.0
2015,1,1,0,30,0,0,0,0,-9,166.43,0.15,1.1,47.36,0,970.0
2015,1,1,1,0,0,0,0,0,-10,161.75,0.15,1.2000000000000002,50.46,0,970.0
2015,1,1,1,30,0,0,0,0,-10,156.18,0.15,1.2000000000000002,50.47,0,970.0
2015,1,1,2,0,0,0,0,0,-10,150.23,0.15,1.2000000000000002,49.75,0,970.0
2015,1,1,2,30,0,0,0,0,-10,144.1,0.15,1.2000000000000002,49.75,0,970.0
2015,1,1,3,0,0,0,0,0,-10,137.9,0.15,1.2000000000000002,48.64,0,970.0
2015,1,1,3,30,0,0,0,0,-10,131.68,0.15,1.2000000000000002,48.65,0,970.0
2015,1,1,4,0,0,0,0,0,-10,125.48,0.15,1.2000000000000002,47.43,0,970.0
2015,1,1,4,30,0,0,0,0,-10,119.31,0.15,1.2000000000000002,47.44,0,970.0
2015,1,1,5,0,0,0,0,0,-11,113.21000000000001,0.15,1.3,46.17,0,970.0
2015,1,1,5,30,0,0,0,0,-11,107.19,0.15,1.3,46.19,0,970.0
2015,1,1,6,0,0,0,0,0,-11,101.29,0.15,1.3,44.64,0,970.0
2015,1,1,6,30,0,0,0,0,-11,95.52,0.15,1.2000000000000002,41.53,0,970.0
